Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
US,US-CO,CO-3,1781800,1567950,126345500,3100275,11777500,40767000,11831000,507202500,6806400,7536900,16517250,1354150,6378750,2654800,52347000,2458800
US,US-CO,CO-4,1799400,1583500,127598750,3131025,11894300,41171000,11948500,512227500,6873900,7611675,16680750,1367600,6442000,2681200,52869000,2483250
US,US-CO,CO-5,1617900,1423750,114726500,2815175,10694400,37018000,10743000,460560000,6180400,6843825,14997750,1229600,5792250,2410600,47535000,2232750
US,US-CO,CO-6,2554400,2247900,181132750,4444650,16884600,58445000,16961000,727140000,9757800,10805100,23679000,1941350,9144750,3806000,75048000,3525150
US,US-CO,CO-7,1770400,1557900,125536750,3080450,11702100,40506000,11755000,503955000,6762800,7488675,16411500,1345500,6338000,2637800,52014000,2443050
US,US-CT,CT-1,728100,640750,51632000,1266950,4813000,16660000,4835000,207270000,2781500,3080025,6750000,553400,2606750,1085000,21393000,1004850
US,US-CT,CT-2,723800,637000,51328250,1259500,4784600,16562000,4806500,206047500,2765100,3061875,6710250,550150,2591500,1078600,21267000,998850
US,US-CT,CT-3,675800,594650,47918750,1175825,4466800,15462000,4487000,192367500,2581400,2858475,6264000,513600,2419250,1006800,19854000,932550
US,US-CT,CT-4,910900,801550,64588750,1584875,6020700,20840000,6048000,259282500,3479500,3852900,8443500,692250,3260750,1357200,26760000,1257000
US,US-CT,CT-5,706800,621950,50118000,1229800,4671800,16171000,4693000,201195000,2699900,2989650,6552000,537150,2530250,1053200,20766000,975300
US,US-DC,DC-AT LARGE,3299500,2903550,233967500,5741125,21809700,75493000,21908500,939232500,12604100,13956900,30586500,2507600,11812250,4916200,96939000,4553250
US,US-DE,DE-AT LARGE,1244600,1095300,88257000,2165675,8227000,28477000,8264500,354300000,4754500,5264775,11538000,945900,4455750,1854600,36567000,1717650
US,US-FL,FL-1,1945600,1712150,137965000,3385400,12860600,44516000,12919000,553845000,7432300,8230050,18036000,1478700,6965250,2899000,57162000,2685000
US,US-FL,FL-10,4389300,3862600,311245000,7637375,29013300,100427000,29145000,1249455000,16767100,18566700,40689000,3335850,15713750,6540000,128958000,6057300
US,US-FL,FL-11,2026500,1783350,143700500,3526150,13395300,46367000,13456000,576870000,7741300,8572200,18786000,1540150,7255000,3019600,59538000,2796600
US,US-FL,FL-12,2219000,1952700,157348500,3861050,14667500,50770000,14734000,631657500,8476500,9386325,20570250,1686450,7944000,3306200,65193000,3062250
US,US-FL,FL-13,2177900,1916550,154434750,3789550,14395900,49830000,14461000,619957500,8319600,9212475,20189250,1655200,7797000,3245000,63987000,3005550
US,US-FL,FL-14,3559600,3132500,252413750,6193775,23529200,81444000,23636000,1013287500,13597800,15057225,32997750,2705300,12743500,5303800,104583000,4912350
US,US-FL,FL-15,2333100,2053150,165442000,4059650,15422000,53382000,15492000,664147500,8912500,9869100,21627750,1773200,8352500,3476400,68547000,3219750
US,US-FL,FL-16,2396300,2108800,169925250,4169650,15839900,54828000,15912000,682147500,9154100,10136550,22214250,1821250,8579000,3570600,70404000,3306900
US,US-FL,FL-17,1843900,1622650,130750750,3208375,12188200,42188000,12243500,524880000,7043700,7799700,17093250,1401350,6601250,2747400,54174000,2544600
US,US-FL,FL-18,2288600,2013900,162281000,3982075,15127300,52362000,15196000,651457500,8742300,9680550,21214500,1739300,8193000,3410000,67239000,3158250
US,US-FL,FL-19,2718400,2392150,192759750,4729975,17968400,62196000,18050000,773812500,10384200,11498700,25199250,2065950,9731750,4050400,79866000,3751350
US,US-FL,FL-2,1645800,1448300,116702500,2863650,10878600,37656000,10928000,468487500,6286900,6961650,15256500,1250800,5892000,2452200,48354000,2271150
US,US-FL,FL-20,2220200,1953750,157433000,3863125,14675400,50798000,14742000,631995000,8481100,9391350,20580750,1687350,7948250,3308000,65229000,3063900
US,US-FL,FL-21,2351100,2068950,166714750,4090875,15540600,53793000,15611000,669255000,8981100,9945075,21794250,1786800,8416750,3503200,69075000,3244500
US,US-FL,FL-22,2921700,2571150,207180750,5083825,19312700,66849000,19400500,831705000,11161100,12358950,27084750,2220500,10459750,4353400,85842000,4032000
US,US-FL,FL-23,2573200,2264400,182463000,4477300,17008600,58874000,17086000,732472500,9829500,10884450,23853000,1955600,9212000,3834000,75600000,3550950
US,US-FL,FL-24,4342200,3821150,307906000,7555450,28702000,99350000,28832500,1236052500,16587200,18367575,40252500,3300100,15545000,6469800,127575000,5992200
US,US-FL,FL-25,2446800,2153150,173499750,4257350,16173100,55982000,16246500,696495000,9346600,10349775,22681500,1859550,8759500,3645600,71886000,3376500
US,US-FL,FL-26,2650200,2332150,187924750,4611325,17517700,60636000,17597500,754402500,10123700,11210325,24567000,2014150,9487750,3948800,77862000,3657300
